,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,trackName,artistName,explicit,popularity
0,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303,4,As It Was,Harry Styles,False,92
1,0.679,0.582,11,-10.459,1,0.0615,0.0306,0.000932,0.108,0.767,149.975,110PnrQX9AJIt3HNJtjPgt,277200,4,False Direction,Dayglow,False,56
2,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303,4,As It Was,Harry Styles,False,92
3,0.679,0.582,11,-10.459,1,0.0615,0.0306,0.000932,0.108,0.767,149.975,110PnrQX9AJIt3HNJtjPgt,277200,4,False Direction,Dayglow,False,56
4,0.467,0.859,0,-2.946,0,0.0409,0.661,0.0,0.0522,0.673,89.842,0mh4VutnDyBn1sqcp05MZD,251480,4,Mat Aazma Re,Pritam,False,61
5,0.697,0.438,8,-8.411,1,0.0289,0.397,0.0,0.293,0.58,117.954,5FXMRdJjKq1BIX4e8Eg9mK,241668,4,Ajab Si,KK,False,71
6,0.382,0.632,8,-6.393,1,0.0411,0.391,0.000486,0.0922,0.716,78.936,0gPgdRfB4jdGrlyXS0Vx78,333584,4,Khuda Jaane,Vishal-Shekhar,False,73
7,0.468,0.91,11,-3.057,0,0.051,0.12,0.000304,0.271,0.694,163.842,18YHbIhrleUkKKj2DvEp79,303680,4,Zara Sa,Pritam,False,73
8,0.644,0.818,6,-5.924,0,0.0549,0.431,2.62e-05,0.0806,0.789,118.477,3HFjh7QljnUCBLsoTwMuTj,266653,4,Kya Mujhe Pyar Hai,KK,False,67
9,0.568,0.726,9,-6.087,0,0.0366,0.491,0.000764,0.122,0.564,118.842,4IGfpRPTnhzZyL74Ilubrb,387947,4,Tu Hi Meri Shab Hai,KK,False,65
10,0.678,0.771,6,-2.849,1,0.0266,0.0277,0.00253,0.149,0.462,105.976,3s6H6UW7yPu2rsF8CGki60,253200,4,Zindagi Do Pal Ki,KK,False,57
11,0.636,0.745,2,-5.4,0,0.0378,0.155,2.54e-06,0.132,0.719,139.986,5LwlAJEkUeJEDBbN14RV6o,288356,4,Saanson Ke,KK,False,59
12,0.797,0.306,11,-14.176,0,0.0487,0.337,0.0,0.169,0.519,124.003,0ypgFw67lNEpoKFUxUV0tG,328880,4,Such Keh Raha Hai,KK,False,64
13,0.486,0.382,6,-6.183,1,0.0286,0.613,8.56e-05,0.149,0.164,125.918,5nHwX7e5XHnie22nuTFgda,333200,3,Dil Kyun Yeh Mera,KK,False,64
14,0.257,0.583,7,-8.185,1,0.0429,0.603,0.000289,0.146,0.217,160.127,0zQa7QXLpUZfrrsWbgDZll,298272,4,Beete Lamhein,KK,False,66
15,0.902,0.772,6,-8.29,0,0.0383,0.0452,0.000129,0.12,0.808,131.992,3hCUkos0NxuSFl73oOHJzb,333093,4,It's the Time to Disco,Shankar-Ehsaan-Loy,False,61
16,0.576,0.591,0,-7.725,1,0.0332,0.795,6.85e-05,0.266,0.478,124.013,7txLCGOXyDlDXTjtR1Sk4v,242864,4,Tu Jo Mila,Pritam,False,66
17,0.59,0.859,2,-5.005,0,0.0416,0.633,0.0,0.286,0.634,149.966,3Kl8p2PxVf8eAayLwTxOIm,329387,4,Dil Ibaadat,Pritam,False,72
18,0.64,0.498,5,-8.241,1,0.0289,0.733,7.33e-06,0.136,0.207,113.895,0zFG3RWjka7dNRIRTWnXMN,268867,4,Yaaron,KK,False,53
19,0.746,0.697,7,-7.693,0,0.0422,0.0144,0.000746,0.167,0.542,99.974,4EjO3ELtQkbOBox5adad6a,299893,4,Feel My Love,KK,False,59
20,0.416,0.475,6,-9.547,0,0.0325,0.105,0.0227,0.111,0.0782,79.998,3Bh3NOzgOPlgJwpGz8P8Dt,219986,4,Kya Mujhe Pyar Hai (Lofi),DJ Glory,False,58
21,0.702,0.694,2,-5.74,1,0.0286,0.685,5.96e-05,0.168,0.76,130.024,3FS3ItpUATpALLi90uvkde,285109,4,I Am In Love,KK,False,60
22,0.432,0.42,4,-12.413,0,0.0339,0.849,0.0,0.378,0.433,96.002,2mP1XtK0XiQhcYSPCI2dLe,295127,4,My Heart is Beating,KK,False,44
23,0.63,0.837,9,-4.635,0,0.0387,0.329,0.00271,0.159,0.473,107.997,5WncH5iZ5GFlnXm7jKEXVP,341028,4,Labon Ko,Pritam,False,70
24,0.315,0.491,11,-7.0,1,0.0311,0.748,0.0,0.128,0.245,109.966,2Vw94w6FxCyaYwyCivi9Py,198345,4,Tere Naal,Tulsi Kumar,False,62
25,0.63,0.837,9,-4.635,0,0.0387,0.329,0.00271,0.159,0.473,107.997,5WncH5iZ5GFlnXm7jKEXVP,341028,4,Labon Ko,Pritam,False,70
26,0.373,0.609,0,-7.0,1,0.0316,0.108,0.000427,0.0755,0.354,179.955,0xtIp0lgccN85GfGOekS5L,270680,4,Yes I'm Changing,Tame Impala,True,71
27,0.63,0.837,9,-4.635,0,0.0387,0.329,0.00271,0.159,0.473,107.997,5WncH5iZ5GFlnXm7jKEXVP,341028,4,Labon Ko,Pritam,False,70
28,0.262,0.224,9,-20.231,0,0.0463,0.0545,0.95,0.118,0.0388,119.715,5aaXqH8rgKZxg61HjECldi,246272,4,No Time for Caution,Hans Zimmer,False,61
29,0.82,0.504,4,-9.113,0,0.141,0.261,7e-06,0.104,0.275,85.016,6ZYxNjuAU9Vy3VtF6W1dtE,199206,4,WE ROLLIN,Shubh,True,78
30,0.209,0.152,10,-16.519,0,0.0324,0.5,0.903,0.103,0.0482,80.136,1NkI8DtCnjcWVCVLF0gB71,407533,4,The Batman,Michael Giacchino,False,61
31,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,27rdGxbavYJeBphck5MZAF,217467,4,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,False,79
32,0.363,0.146,0,-19.861,1,0.0679,0.976,0.888,0.108,0.271,166.964,6itnhgWDgGf2GRXVkVIMq4,165111,3,Up - Theme from the Motion Picture,Giampaolo Pasquile,False,44
33,0.673,0.663,4,-10.026,1,0.0446,0.0648,1.79e-05,0.117,0.678,124.002,22kRCQPyNXWZSQEcDvCmGD,230661,4,Gulabi,Sachin-Jigar,False,65
