,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,trackName,artistName
0,0.464,0.33,4,-7.027,1,0.035,0.761,0.0,0.72,0.368,106.04,audio_features,2MJ2fb4rCmdVZ9lUtUMNjF,spotify:track:2MJ2fb4rCmdVZ9lUtUMNjF,https://api.spotify.com/v1/tracks/2MJ2fb4rCmdVZ9lUtUMNjF,https://api.spotify.com/v1/audio-analysis/2MJ2fb4rCmdVZ9lUtUMNjF,225488,4,One - Live and in Session,Ed Sheeran
1,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4,Photograph,Ed Sheeran
2,0.517,0.623,4,-6.812,1,0.0884,0.419,0.0,0.146,0.456,160.085,audio_features,3wmI2n0Whs6kg4MT8jFRU1,spotify:track:3wmI2n0Whs6kg4MT8jFRU1,https://api.spotify.com/v1/tracks/3wmI2n0Whs6kg4MT8jFRU1,https://api.spotify.com/v1/audio-analysis/3wmI2n0Whs6kg4MT8jFRU1,261758,3,Teri Aankhon Mein,Darshan Raval
3,0.528,0.708,7,-5.879,0,0.207,0.264,0.0,0.305,0.781,97.8,audio_features,0NfYAsKygCYwPA2BgTZ1qg,spotify:track:0NfYAsKygCYwPA2BgTZ1qg,https://api.spotify.com/v1/tracks/0NfYAsKygCYwPA2BgTZ1qg,https://api.spotify.com/v1/audio-analysis/0NfYAsKygCYwPA2BgTZ1qg,256213,4,Now Or Never,Halsey
4,0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,audio_features,3hkC9EHFZNQPXrtl8WPHnX,spotify:track:3hkC9EHFZNQPXrtl8WPHnX,https://api.spotify.com/v1/tracks/3hkC9EHFZNQPXrtl8WPHnX,https://api.spotify.com/v1/audio-analysis/3hkC9EHFZNQPXrtl8WPHnX,341055,4,Agar Tum Saath Ho,Alka Yagnik
5,0.641,0.324,11,-5.851,1,0.0299,0.698,0.0,0.328,0.273,110.184,audio_features,0E4Y1XIbs8GrAT1YqVy6dq,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq,https://api.spotify.com/v1/tracks/0E4Y1XIbs8GrAT1YqVy6dq,https://api.spotify.com/v1/audio-analysis/0E4Y1XIbs8GrAT1YqVy6dq,185487,4,Afterglow,Ed Sheeran
6,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,audio_features,5uCax9HTNlzGybIStD3vDh,spotify:track:5uCax9HTNlzGybIStD3vDh,https://api.spotify.com/v1/tracks/5uCax9HTNlzGybIStD3vDh,https://api.spotify.com/v1/audio-analysis/5uCax9HTNlzGybIStD3vDh,211467,4,Say You Won't Let Go,James Arthur
7,0.56,0.631,7,-9.032,1,0.0334,0.861,0.0133,0.0985,0.376,107.987,audio_features,6cUOiOY5qh2FpIQWIYAd2h,spotify:track:6cUOiOY5qh2FpIQWIYAd2h,https://api.spotify.com/v1/tracks/6cUOiOY5qh2FpIQWIYAd2h,https://api.spotify.com/v1/audio-analysis/6cUOiOY5qh2FpIQWIYAd2h,249416,4,Mehrama,Pritam
8,0.396,0.279,1,-9.769,1,0.0321,0.762,4.79e-06,0.107,0.219,112.027,audio_features,4vsLebwJWt4Nl9Hqk6AHgv,spotify:track:4vsLebwJWt4Nl9Hqk6AHgv,https://api.spotify.com/v1/tracks/4vsLebwJWt4Nl9Hqk6AHgv,https://api.spotify.com/v1/audio-analysis/4vsLebwJWt4Nl9Hqk6AHgv,267857,4,Main Kisi Aur Ka,Darshan Raval
9,0.396,0.279,1,-9.769,1,0.0321,0.762,4.79e-06,0.107,0.219,112.027,audio_features,4vsLebwJWt4Nl9Hqk6AHgv,spotify:track:4vsLebwJWt4Nl9Hqk6AHgv,https://api.spotify.com/v1/tracks/4vsLebwJWt4Nl9Hqk6AHgv,https://api.spotify.com/v1/audio-analysis/4vsLebwJWt4Nl9Hqk6AHgv,267857,4,Main Kisi Aur Ka,Darshan Raval
10,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,audio_features,7LVHVU3tWfcxj5aiPFEW4Q,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,295533,4,Fix You,Coldplay
11,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,3AJwUDP919kvQ9QcozQPxg,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4,Yellow,Coldplay
12,0.483,0.468,8,-7.642,1,0.0341,0.784,0.0,0.152,0.319,135.875,audio_features,1smFN2CLqGROu0J0UyvDfL,spotify:track:1smFN2CLqGROu0J0UyvDfL,https://api.spotify.com/v1/tracks/1smFN2CLqGROu0J0UyvDfL,https://api.spotify.com/v1/audio-analysis/1smFN2CLqGROu0J0UyvDfL,247941,4,Shayad,Pritam
13,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,audio_features,1Y3LN4zO1Edc2EluIoSPJN,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,176440,3,Until I Found You,Stephen Sanchez
14,0.683,0.695,7,-5.512,1,0.0931,0.768,1.98e-05,0.296,0.865,137.208,audio_features,5ZMuv6ESQmOHfXrm8FFncr,spotify:track:5ZMuv6ESQmOHfXrm8FFncr,https://api.spotify.com/v1/tracks/5ZMuv6ESQmOHfXrm8FFncr,https://api.spotify.com/v1/audio-analysis/5ZMuv6ESQmOHfXrm8FFncr,172571,4,Mere Saamne,Manvendra Shah
15,0.606,0.601,2,-5.576,1,0.0283,0.796,0.000511,0.127,0.453,125.961,audio_features,6871FKHumiy1Wfr6vF7Xxt,spotify:track:6871FKHumiy1Wfr6vF7Xxt,https://api.spotify.com/v1/tracks/6871FKHumiy1Wfr6vF7Xxt,https://api.spotify.com/v1/audio-analysis/6871FKHumiy1Wfr6vF7Xxt,289999,4,Hawayein,Pritam
16,0.593,0.967,9,-5.767,1,0.0907,0.166,2.54e-05,0.105,0.452,131.988,audio_features,5cgKosPPj5Cs9a2JQufUc1,spotify:track:5cgKosPPj5Cs9a2JQufUc1,https://api.spotify.com/v1/tracks/5cgKosPPj5Cs9a2JQufUc1,https://api.spotify.com/v1/audio-analysis/5cgKosPPj5Cs9a2JQufUc1,228982,4,Ilahi,Pritam
17,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4,Photograph,Ed Sheeran
18,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4,Photograph,Ed Sheeran
19,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,audio_features,72jbDTw1piOOj770jWNeaG,spotify:track:72jbDTw1piOOj770jWNeaG,https://api.spotify.com/v1/tracks/72jbDTw1piOOj770jWNeaG,https://api.spotify.com/v1/audio-analysis/72jbDTw1piOOj770jWNeaG,221507,4,Paris,The Chainsmokers
20,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,audio_features,1Y3LN4zO1Edc2EluIoSPJN,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,176440,3,Until I Found You,Stephen Sanchez
21,0.532,0.433,3,-9.423,1,0.0278,0.0942,0.0121,0.142,0.0395,140.666,audio_features,4bPkBHKLKd9WHizsvM2zV3,spotify:track:4bPkBHKLKd9WHizsvM2zV3,https://api.spotify.com/v1/tracks/4bPkBHKLKd9WHizsvM2zV3,https://api.spotify.com/v1/audio-analysis/4bPkBHKLKd9WHizsvM2zV3,331133,4,Warning Sign,Coldplay
22,0.424,0.437,2,-8.588,1,0.0355,0.962,0.336,0.664,0.131,174.127,audio_features,0jZO7p0nBUi9VHedWUBS9l,spotify:track:0jZO7p0nBUi9VHedWUBS9l,https://api.spotify.com/v1/tracks/0jZO7p0nBUi9VHedWUBS9l,https://api.spotify.com/v1/audio-analysis/0jZO7p0nBUi9VHedWUBS9l,208173,3,The Night We Met (feat. Phoebe Bridgers),Lord Huron
23,0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01,audio_features,3hRV0jL3vUpRrcy398teAU,spotify:track:3hRV0jL3vUpRrcy398teAU,https://api.spotify.com/v1/tracks/3hRV0jL3vUpRrcy398teAU,https://api.spotify.com/v1/audio-analysis/3hRV0jL3vUpRrcy398teAU,208212,3,The Night We Met,Lord Huron
24,0.424,0.437,2,-8.588,1,0.0355,0.962,0.336,0.664,0.131,174.127,audio_features,0jZO7p0nBUi9VHedWUBS9l,spotify:track:0jZO7p0nBUi9VHedWUBS9l,https://api.spotify.com/v1/tracks/0jZO7p0nBUi9VHedWUBS9l,https://api.spotify.com/v1/audio-analysis/0jZO7p0nBUi9VHedWUBS9l,208173,3,The Night We Met (feat. Phoebe Bridgers),Lord Huron
25,0.546,0.465,5,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369,audio_features,7DcJ6fEBb7BaKuYKTwiDxK,spotify:track:7DcJ6fEBb7BaKuYKTwiDxK,https://api.spotify.com/v1/tracks/7DcJ6fEBb7BaKuYKTwiDxK,https://api.spotify.com/v1/audio-analysis/7DcJ6fEBb7BaKuYKTwiDxK,177493,4,Home,Hollow Coves
26,0.457,0.899,10,-2.591,0,0.132,0.0019,0.0,0.831,0.298,147.268,audio_features,6JyuJFedEvPmdWQW0PkbGJ,spotify:track:6JyuJFedEvPmdWQW0PkbGJ,https://api.spotify.com/v1/tracks/6JyuJFedEvPmdWQW0PkbGJ,https://api.spotify.com/v1/audio-analysis/6JyuJFedEvPmdWQW0PkbGJ,215510,4,Purple,Hollow Coves
27,0.532,0.433,3,-9.423,1,0.0278,0.0942,0.0121,0.142,0.0395,140.666,audio_features,4bPkBHKLKd9WHizsvM2zV3,spotify:track:4bPkBHKLKd9WHizsvM2zV3,https://api.spotify.com/v1/tracks/4bPkBHKLKd9WHizsvM2zV3,https://api.spotify.com/v1/audio-analysis/4bPkBHKLKd9WHizsvM2zV3,331133,4,Warning Sign,Coldplay
28,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,audio_features,1Y3LN4zO1Edc2EluIoSPJN,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,176440,3,Until I Found You,Stephen Sanchez
29,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,audio_features,1Y3LN4zO1Edc2EluIoSPJN,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,176440,3,Until I Found You,Stephen Sanchez
30,0.532,0.433,3,-9.423,1,0.0278,0.0942,0.0121,0.142,0.0395,140.666,audio_features,4bPkBHKLKd9WHizsvM2zV3,spotify:track:4bPkBHKLKd9WHizsvM2zV3,https://api.spotify.com/v1/tracks/4bPkBHKLKd9WHizsvM2zV3,https://api.spotify.com/v1/audio-analysis/4bPkBHKLKd9WHizsvM2zV3,331133,4,Warning Sign,Coldplay
31,0.495,0.525,7,-9.342,0,0.0301,0.396,0.00736,0.0961,0.249,154.466,audio_features,2DHgvPQD1jApRnT1DBZdrS,spotify:track:2DHgvPQD1jApRnT1DBZdrS,https://api.spotify.com/v1/tracks/2DHgvPQD1jApRnT1DBZdrS,https://api.spotify.com/v1/audio-analysis/2DHgvPQD1jApRnT1DBZdrS,256467,4,High Speed,Coldplay
32,0.424,0.437,2,-8.588,1,0.0355,0.962,0.336,0.664,0.131,174.127,audio_features,0jZO7p0nBUi9VHedWUBS9l,spotify:track:0jZO7p0nBUi9VHedWUBS9l,https://api.spotify.com/v1/tracks/0jZO7p0nBUi9VHedWUBS9l,https://api.spotify.com/v1/audio-analysis/0jZO7p0nBUi9VHedWUBS9l,208173,3,The Night We Met (feat. Phoebe Bridgers),Lord Huron
33,0.424,0.437,2,-8.588,1,0.0355,0.962,0.336,0.664,0.131,174.127,audio_features,0jZO7p0nBUi9VHedWUBS9l,spotify:track:0jZO7p0nBUi9VHedWUBS9l,https://api.spotify.com/v1/tracks/0jZO7p0nBUi9VHedWUBS9l,https://api.spotify.com/v1/audio-analysis/0jZO7p0nBUi9VHedWUBS9l,208173,3,The Night We Met (feat. Phoebe Bridgers),Lord Huron
34,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,audio_features,1Y3LN4zO1Edc2EluIoSPJN,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,176440,3,Until I Found You,Stephen Sanchez
35,0.532,0.433,3,-9.423,1,0.0278,0.0942,0.0121,0.142,0.0395,140.666,audio_features,4bPkBHKLKd9WHizsvM2zV3,spotify:track:4bPkBHKLKd9WHizsvM2zV3,https://api.spotify.com/v1/tracks/4bPkBHKLKd9WHizsvM2zV3,https://api.spotify.com/v1/audio-analysis/4bPkBHKLKd9WHizsvM2zV3,331133,4,Warning Sign,Coldplay
